scalar,RGB_r,RGB_g,RGB_b
0.0,0.0,0.0,0.0
0.0322580645161,0.108786984361,0.00539348773401,0.111969722919
0.0645161290323,0.151646272438,0.00992008216835,0.207169324221
0.0967741935484,0.177432471465,0.0138722350159,0.291172042908
0.129032258065,0.197815255105,0.0181917051769,0.380334218831
0.161290322581,0.217212307303,0.0224490138622,0.470590341612
0.193548387097,0.242299326954,0.0265403684814,0.55366056478
0.225806451613,0.246161677012,0.0316100545371,0.662773582883
0.258064516129,0.0391938496819,0.102059502264,0.820224013463
0.290322580645,0.0330077889855,0.234301565771,0.684120017099
0.322580645161,0.027342572762,0.30516422217,0.568742692879
0.354838709677,0.0233214021309,0.356429314246,0.486194627807
0.387096774194,0.0209210625389,0.399669044317,0.431618682832
0.41935483871,0.021456273063,0.439800086067,0.392182769224
0.451612903226,0.0231370820279,0.479419284367,0.348429122934
0.483870967742,0.0254740155568,0.518770047056,0.297904142682
0.516129032258,0.0271421867926,0.557915014845,0.239575650389
0.548387096774,0.0284678047008,0.596777269798,0.175458157761
0.58064516129,0.0312413336822,0.635206873602,0.120063295218
0.612903225806,0.0327448443691,0.67336887176,0.0992531115405
0.645161290323,0.0415383658849,0.711987208831,0.0339929543272
0.677419354839,0.227566481325,0.74283739542,0.0359423658082
0.709677419355,0.374535200277,0.768415962919,0.0371934165377
0.741935483871,0.517234571204,0.788163270506,0.0380195489276
0.774193548387,0.657795610039,0.802005572972,0.0391239148551
0.806451612903,0.796045206502,0.810122510174,0.0387729461439
0.838709677419,0.953317183851,0.80450939606,0.046060278241
0.870967741935,0.98234848296,0.827339414951,0.630458909786
0.903225806452,0.989687135873,0.866196263885,0.784178735151
0.935483870968,0.993982117378,0.909532650768,0.87417700771
0.967741935484,0.997026623438,0.954589245277,0.941260238402
1.0,1.0,1.0,1.0
